content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
Bebas bayaran untuk pengguna baru tapi ongkirnya tetep sesuai harga,bebas bayaran untuk pengguna baru tapi ongkirnya tetep sesuai harga,bebas bayaran untuk pengguna baru tapi ongkirnya tetap  sesuai harga,"['bebas', 'bayaran', 'untuk', 'pengguna', 'baru', 'tapi', 'ongkirnya', 'tetap', 'sesuai', 'harga']","['bebas', 'bayaran', 'pengguna', 'baru', 'ongkirnya', 'tetap', 'sesuai', 'harga']"
"kasik Bintang 3 dulu ya kak karena baru pertama kali coba belanja, makasih...",kasik bintang dulu ya kak karena baru pertama kali coba belanja makasih,kasik bintang dulu ya kak karena baru pertama kali coba belanja makasih,"['kasik', 'bintang', 'dulu', 'ya', 'kak', 'karena', 'baru', 'pertama', 'kali', 'coba', 'belanja', 'makasih']","['kasik', 'bintang', 'dulu', 'kak', 'baru', 'pertama', 'kali', 'coba', 'belanja', 'makasih']"
"Tadinya emang sengaja download tokped, kan aplikasi karya anak bangsa, mau daftar itu loh susah banget ribet pake email gak bisa fb gk bisa no hp susah tolong diperbaiki sistemnya parah banget udah 2 hari gak bisa daftar...",tadinya emang sengaja download tokped kan aplikasi karya anak bangsa mau daftar itu loh susah banget ribet pake email gak bisa fb gk bisa no hp susah tolong diperbaiki sistemnya parah banget udah hari gak bisa daftar,tadinya memang  sengaja download tokped kan aplikasi karya anak bangsa mau daftar itu loh susah sekali  ribet pakai  email tidak bisa facebook  tidak bisa no hp susah tolong diperbaiki sistemnya parah sekali  sudah hari tidak bisa daftar,"['tadinya', 'memang', 'sengaja', 'download', 'tokped', 'kan', 'aplikasi', 'karya', 'anak', 'bangsa', 'mau', 'daftar', 'itu', 'loh', 'susah', 'sekali', 'ribet', 'pakai', 'email', 'tidak', 'bisa', 'facebook', 'tidak', 'bisa', 'no', 'hp', 'susah', 'tolong', 'diperbaiki', 'sistemnya', 'parah', 'sekali', 'sudah', 'hari', 'tidak', 'bisa', 'daftar']","['tadinya', 'memang', 'sengaja', 'download', 'tokped', 'kan', 'aplikasi', 'karya', 'anak', 'bangsa', 'mau', 'daftar', 'loh', 'susah', 'sekali', 'ribet', 'pakai', 'email', 'tidak', 'facebook', 'tidak', 'no', 'hp', 'susah', 'diperbaiki', 'sistemnya', 'parah', 'sekali', 'hari', 'tidak', 'daftar']"
Skrg kenapa harus pake biaya jasa aplikasi. Per transaksi cekout pula. Huhu jd kurang greget mau cekout sering2 di tokped,skrg kenapa harus pake biaya jasa aplikasi per transaksi cekout pula huhu jd kurang greget mau cekout sering di tokped,sekarang  kenapa harus pakai  biaya jasa aplikasi per transaksi cekout pula huhu jadi kurang greget mau cekout sering di tokped,"['sekarang', 'kenapa', 'harus', 'pakai', 'biaya', 'jasa', 'aplikasi', 'per', 'transaksi', 'cekout', 'pula', 'huhu', 'jadi', 'kurang', 'greget', 'mau', 'cekout', 'sering', 'di', 'tokped']","['sekarang', 'pakai', 'biaya', 'jasa', 'aplikasi', 'per', 'transaksi', 'cekout', 'huhu', 'jadi', 'kurang', 'greget', 'mau', 'cekout', 'sering', 'tokped']"
oke,oke,oke,['oke'],['oke']
Maaf ya karena baru nyoba,maaf ya karena baru nyoba,maaf ya karena baru coba ,"['maaf', 'ya', 'karena', 'baru', 'coba']","['maaf', 'baru', 'coba']"
"Saya8,CNN vc u sexes, x",saya cnn vc u sexes x,saya cnn vc kamu sexes x,"['saya', 'cnn', 'vc', 'kamu', 'sexes', 'x']","['cnn', 'vc', 'kamu', 'sexes', 'x']"
"Makin pelit sama voucher (banyak syarat), Voucher telur cb/diskon 20rb min belanja 50rb dirubah, event gratis ongkir min 10rb juga naik 20rb, ada biaya transaksi dan sekarang voucher gratis ongkir gak bisa gabung sama voucher cashback kupon saya (hanya bisa gabung sama voucher cb toko). Pemasukan koin sudah berkurang, kalau transaksi sudah gak bisa 100% bayar pakai koin, auto pindah :(",makin pelit sama voucher banyak syarat voucher telur cb diskon rb min belanja rb dirubah event gratis ongkir min rb juga naik rb ada biaya transaksi dan sekarang voucher gratis ongkir gak bisa gabung sama voucher cashback kupon saya hanya bisa gabung sama voucher cb toko pemasukan koin sudah berkurang kalau transaksi sudah gak bisa bayar pakai koin auto pindah,makin pelit sama voucher banyak syarat voucher telur coba  diskon ribu  min belanja ribu  dirubah event gratis ongkir min ribu  juga naik ribu  ada biaya transaksi dan sekarang voucher gratis ongkir tidak bisa gabung sama voucher cashback kupon saya hanya bisa gabung sama voucher coba  toko pemasukan koin sudah berkurang kalau transaksi sudah tidak bisa bayar pakai koin auto pindah,"['makin', 'pelit', 'sama', 'voucher', 'banyak', 'syarat', 'voucher', 'telur', 'coba', 'diskon', 'ribu', 'min', 'belanja', 'ribu', 'dirubah', 'event', 'gratis', 'ongkir', 'min', 'ribu', 'juga', 'naik', 'ribu', 'ada', 'biaya', 'transaksi', 'dan', 'sekarang', 'voucher', 'gratis', 'ongkir', 'tidak', 'bisa', 'gabung', 'sama', 'voucher', 'cashback', 'kupon', 'saya', 'hanya', 'bisa', 'gabung', 'sama', 'voucher', 'coba', 'toko', 'pemasukan', 'koin', 'sudah', 'berkurang', 'kalau', 'transaksi', 'sudah', 'tidak', 'bisa', 'bayar', 'pakai', 'koin', 'auto', 'pindah']","['makin', 'pelit', 'sama', 'voucher', 'banyak', 'syarat', 'voucher', 'telur', 'coba', 'diskon', 'ribu', 'min', 'belanja', 'ribu', 'dirubah', 'event', 'gratis', 'ongkir', 'min', 'ribu', 'naik', 'ribu', 'biaya', 'transaksi', 'sekarang', 'voucher', 'gratis', 'ongkir', 'tidak', 'gabung', 'sama', 'voucher', 'cashback', 'kupon', 'gabung', 'sama', 'voucher', 'coba', 'toko', 'pemasukan', 'koin', 'berkurang', 'kalau', 'transaksi', 'tidak', 'bayar', 'pakai', 'koin', 'auto', 'pindah']"
"Aplikasi bagus, cuma selama masih ada sicepat cocoknya bintang 3, bikin ribet kacau, pengiriman tidak sesuai estimasi, merusak jadwal",aplikasi bagus cuma selama masih ada sicepat cocoknya bintang bikin ribet kacau pengiriman tidak sesuai estimasi merusak jadwal,aplikasi bagus cuma selama masih ada sicepat cocoknya bintang bikin ribet kacau pengiriman tidak sesuai estimasi merusak jadwal,"['aplikasi', 'bagus', 'cuma', 'selama', 'masih', 'ada', 'sicepat', 'cocoknya', 'bintang', 'bikin', 'ribet', 'kacau', 'pengiriman', 'tidak', 'sesuai', 'estimasi', 'merusak', 'jadwal']","['aplikasi', 'bagus', 'cuma', 'selama', 'sicepat', 'cocoknya', 'bintang', 'bikin', 'ribet', 'kacau', 'pengiriman', 'tidak', 'sesuai', 'estimasi', 'merusak', 'jadwal']"
Aku blm pernya coba,aku blm pernya coba,saya belum  pernya coba,"['saya', 'belum', 'pernya', 'coba']","['belum', 'pernya', 'coba']"
ko ini oiikj ko 7n by o Jo87j ko ko ok kon byio oo InnovaV,ko ini oiikj ko n by o jo j ko ko ok kon byio oo innovav,ko ini oiikj ko n by o jo j ko ko oke kon byio oo innovav,"['ko', 'ini', 'oiikj', 'ko', 'n', 'by', 'o', 'jo', 'j', 'ko', 'ko', 'oke', 'kon', 'byio', 'oo', 'innovav']","['ko', 'oiikj', 'ko', 'n', 'by', 'o', 'jo', 'j', 'ko', 'ko', 'oke', 'kon', 'byio', 'oo', 'innovav']"
"semoga aja mau bantu... 3 aja dulu, kalo dh d bantu tinggal tambah 2 lgi",semoga aja mau bantu aja dulu kalo dh d bantu tinggal tambah lgi,semoga saja  mau bantu saja  dulu kalau  sudah d bantu tinggal tambah lagi ,"['semoga', 'saja', 'mau', 'bantu', 'saja', 'dulu', 'kalau', 'sudah', 'd', 'bantu', 'tinggal', 'tambah', 'lagi']","['semoga', 'mau', 'bantu', 'dulu', 'kalau', 'd', 'bantu', 'tinggal', 'tambah']"
"pilihan ongkir dan pilihan pembayaran, kadang berubah sendiri",pilihan ongkir dan pilihan pembayaran kadang berubah sendiri,pilihan ongkir dan pilihan pembayaran kadang berubah sendiri,"['pilihan', 'ongkir', 'dan', 'pilihan', 'pembayaran', 'kadang', 'berubah', 'sendiri']","['pilihan', 'ongkir', 'pilihan', 'pembayaran', 'kadang', 'berubah', 'sendiri']"
Good,good,good,['good'],['good']
Gratis ongkir nua harusnya bisa buat beberapa toko dong jd bisa check out bnyk kaya si oren,gratis ongkir nua harusnya bisa buat beberapa toko dong jd bisa check out bnyk kaya si oren,gratis ongkir nua harusnya bisa buat beberapa toko dong jadi bisa check out banyak  kaya si oren,"['gratis', 'ongkir', 'nua', 'harusnya', 'bisa', 'buat', 'beberapa', 'toko', 'dong', 'jadi', 'bisa', 'check', 'out', 'banyak', 'kaya', 'si', 'oren']","['gratis', 'ongkir', 'nua', 'harusnya', 'buat', 'beberapa', 'toko', 'dong', 'jadi', 'check', 'out', 'banyak', 'kaya', 'si', 'oren']"
Bintang 3 dulu,bintang dulu,bintang dulu,"['bintang', 'dulu']","['bintang', 'dulu']"
makasih atas pelayanan prima,makasih atas pelayanan prima,makasih atas pelayanan prima,"['makasih', 'atas', 'pelayanan', 'prima']","['makasih', 'atas', 'pelayanan', 'prima']"
masih baru coba,masih baru coba,masih baru coba,"['masih', 'baru', 'coba']","['baru', 'coba']"
Apah kah kita bisa beli pulsa disini?,apah kah kita bisa beli pulsa disini,apa  kah kita bisa beli pulsa disini,"['apa', 'kah', 'kita', 'bisa', 'beli', 'pulsa', 'disini']","['apa', 'beli', 'pulsa', 'disini']"
Kok sekarang kalo mau co ada tambahan biaya admin ya?,kok sekarang kalo mau co ada tambahan biaya admin ya,kok sekarang kalau  mau co ada tambahan biaya admin ya,"['kok', 'sekarang', 'kalau', 'mau', 'co', 'ada', 'tambahan', 'biaya', 'admin', 'ya']","['kok', 'sekarang', 'kalau', 'mau', 'co', 'tambahan', 'biaya', 'admin']"
"Kenapa Hanya bisa memilih barang yang tampil dipencarian, tidak bisa melihat barang yang dijual ditokonya ya?",kenapa hanya bisa memilih barang yang tampil dipencarian tidak bisa melihat barang yang dijual ditokonya ya,kenapa hanya bisa memilih barang yang tampil dipencarian tidak bisa melihat barang yang dijual ditokonya ya,"['kenapa', 'hanya', 'bisa', 'memilih', 'barang', 'yang', 'tampil', 'dipencarian', 'tidak', 'bisa', 'melihat', 'barang', 'yang', 'dijual', 'ditokonya', 'ya']","['memilih', 'barang', 'tampil', 'dipencarian', 'tidak', 'melihat', 'barang', 'dijual', 'ditokonya']"
Katanya saya dapat hadiah uang tp harus download aplikasi ini dulu ... hadiahnya benar2. Ada apa nggak ya???,katanya saya dapat hadiah uang tp harus download aplikasi ini dulu hadiahnya benar ada apa nggak ya,katanya saya dapat hadiah uang tapi harus download aplikasi ini dulu hadiahnya benar ada apa tidak ya,"['katanya', 'saya', 'dapat', 'hadiah', 'uang', 'tapi', 'harus', 'download', 'aplikasi', 'ini', 'dulu', 'hadiahnya', 'benar', 'ada', 'apa', 'tidak', 'ya']","['katanya', 'hadiah', 'uang', 'download', 'aplikasi', 'dulu', 'hadiahnya', 'benar', 'apa', 'tidak']"
"Ketika paket sedang diantar oleh kurir menuju ke lokasi ku, notifikasi nya kurang jelas apa udah diantar atau belum, mohon diperbaiki lagi ya kak",ketika paket sedang diantar oleh kurir menuju ke lokasi ku notifikasi nya kurang jelas apa udah diantar atau belum mohon diperbaiki lagi ya kak,ketika paket sedang diantar oleh kurir menuju ke lokasi ku notifikasi nya kurang jelas apa sudah diantar atau belum mohon diperbaiki lagi ya kak,"['ketika', 'paket', 'sedang', 'diantar', 'oleh', 'kurir', 'menuju', 'ke', 'lokasi', 'ku', 'notifikasi', 'nya', 'kurang', 'jelas', 'apa', 'sudah', 'diantar', 'atau', 'belum', 'mohon', 'diperbaiki', 'lagi', 'ya', 'kak']","['paket', 'sedang', 'diantar', 'kurir', 'menuju', 'lokasi', 'ku', 'notifikasi', 'nya', 'kurang', 'jelas', 'apa', 'diantar', 'belum', 'mohon', 'diperbaiki', 'kak']"
Baru download belum. Ada 5 mnit udh suruh update 🥴,baru download belum ada mnit udh suruh update wajah pusing karena mabuk,baru download belum ada mnit sudah suruh update wajah pusing karena mabuk,"['baru', 'download', 'belum', 'ada', 'mnit', 'sudah', 'suruh', 'update', 'wajah', 'pusing', 'karena', 'mabuk']","['baru', 'download', 'belum', 'mnit', 'suruh', 'update', 'wajah', 'pusing', 'mabuk']"
B aj sii menurut gw...,b aj sii menurut gw,b saja  sii menurut saya,"['b', 'saja', 'sii', 'menurut', 'saya']","['b', 'sii']"
Untuk internet dan tv kabel bisa di tambahin iconnect gak? Tolong dong,untuk internet dan tv kabel bisa di tambahin iconnect gak tolong dong,untuk internet dan tv kabel bisa di tambahin iconnect tidak tolong dong,"['untuk', 'internet', 'dan', 'tv', 'kabel', 'bisa', 'di', 'tambahin', 'iconnect', 'tidak', 'tolong', 'dong']","['internet', 'tv', 'kabel', 'tambahin', 'iconnect', 'tidak', 'dong']"
Bagus,bagus,bagus,['bagus'],['bagus']
Ktanya 0 pengguna baru. lgi dicekout eh ad ongkirnya.di tambh lagi udah hilang 0 grtisnya. Pgen cb Tokopedia.udh di kecwain dlu...,ktanya pengguna baru lgi dicekout eh ad ongkirnya di tambh lagi udah hilang grtisnya pgen cb tokopedia udh di kecwain dlu,ktanya pengguna baru lagi  dicekout eh ad ongkirnya di tambh lagi sudah hilang grtisnya ingin  coba  tokopedia sudah di kecwain dulu ,"['ktanya', 'pengguna', 'baru', 'lagi', 'dicekout', 'eh', 'ad', 'ongkirnya', 'di', 'tambh', 'lagi', 'sudah', 'hilang', 'grtisnya', 'ingin', 'coba', 'tokopedia', 'sudah', 'di', 'kecwain', 'dulu']","['ktanya', 'pengguna', 'baru', 'dicekout', 'eh', 'ad', 'ongkirnya', 'tambh', 'hilang', 'grtisnya', 'coba', 'tokopedia', 'kecwain', 'dulu']"
"Makin kesini makin jelek dan makin susah , gak kaya dulu",makin kesini makin jelek dan makin susah gak kaya dulu,makin kesini makin jelek dan makin susah tidak kaya dulu,"['makin', 'kesini', 'makin', 'jelek', 'dan', 'makin', 'susah', 'tidak', 'kaya', 'dulu']","['makin', 'kesini', 'makin', 'jelek', 'makin', 'susah', 'tidak', 'kaya', 'dulu']"
Apakah bila pesan barang antar pulau ada ongkos kirimnya,apakah bila pesan barang antar pulau ada ongkos kirimnya,apakah bila pesan barang antar pulau ada ongkos kirimnya,"['apakah', 'bila', 'pesan', 'barang', 'antar', 'pulau', 'ada', 'ongkos', 'kirimnya']","['bila', 'pesan', 'barang', 'antar', 'pulau', 'ongkos', 'kirimnya']"
Lum di coba,lum di coba,belum di coba,"['belum', 'di', 'coba']","['belum', 'coba']"
"Kirain 0 semua Ongkir sama barang, gw kasih 3 bintang aja thanks sudah sms",kirain semua ongkir sama barang gw kasih bintang aja thanks sudah sms,kirain semua ongkir sama barang saya kasih bintang saja  thanks sudah sms,"['kirain', 'semua', 'ongkir', 'sama', 'barang', 'saya', 'kasih', 'bintang', 'saja', 'thanks', 'sudah', 'sms']","['kirain', 'semua', 'ongkir', 'sama', 'barang', 'kasih', 'bintang', 'thanks', 'sms']"
Aplikasi nya agak membingungkan🤔,aplikasi nya agak membingungkan wajah berpikir,aplikasi nya agak membingungkan wajah berpikir,"['aplikasi', 'nya', 'agak', 'membingungkan', 'wajah', 'berpikir']","['aplikasi', 'nya', 'membingungkan', 'wajah', 'berpikir']"
Ok,ok,oke,['oke'],['oke']
Bintang tiga aja dulu,bintang tiga aja dulu,bintang tiga saja  dulu,"['bintang', 'tiga', 'saja', 'dulu']","['bintang', 'tiga', 'dulu']"
Terima kasih tokopedia,terima kasih tokopedia,terima kasih tokopedia,"['terima', 'kasih', 'tokopedia']","['terima', 'kasih', 'tokopedia']"
Pengguna pertama ni,pengguna pertama ni,pengguna pertama ini ,"['pengguna', 'pertama', 'ini']","['pengguna', 'pertama']"
Aq kasih 3 dulu soalnya lom perna mencoba tokopedia.,aq kasih dulu soalnya lom perna mencoba tokopedia,saya kasih dulu soalnya belum perna mencoba tokopedia,"['saya', 'kasih', 'dulu', 'soalnya', 'belum', 'perna', 'mencoba', 'tokopedia']","['kasih', 'dulu', 'soalnya', 'belum', 'perna', 'mencoba', 'tokopedia']"
Ok,ok,oke,['oke'],['oke']
3 dulu nanti kalau oke di tambah lagi,dulu nanti kalau oke di tambah lagi,dulu nanti kalau oke di tambah lagi,"['dulu', 'nanti', 'kalau', 'oke', 'di', 'tambah', 'lagi']","['dulu', 'kalau', 'oke', 'tambah']"
Mot,mot,mot,['mot'],['mot']
TOLONG BANTUANYA SAYA DI TIPU BELI HP 1JUTA GAK GAK SESUAI HP NYA RUSAK TRUS YANG JUAL DI CHAT GABIS DI BALES APAKAH INI BISA DI LAPORKAN KE POLISI?? MOHON,tolong bantuanya saya di tipu beli hp juta gak gak sesuai hp nya rusak trus yang jual di chat gabis di bales apakah ini bisa di laporkan ke polisi mohon,tolong bantuanya saya di tipu beli hp juta tidak tidak sesuai hp nya rusak terus  yang jual di chat gabis di balas  apakah ini bisa di laporkan ke polisi mohon,"['tolong', 'bantuanya', 'saya', 'di', 'tipu', 'beli', 'hp', 'juta', 'tidak', 'tidak', 'sesuai', 'hp', 'nya', 'rusak', 'terus', 'yang', 'jual', 'di', 'chat', 'gabis', 'di', 'balas', 'apakah', 'ini', 'bisa', 'di', 'laporkan', 'ke', 'polisi', 'mohon']","['bantuanya', 'tipu', 'beli', 'hp', 'juta', 'tidak', 'tidak', 'sesuai', 'hp', 'nya', 'rusak', 'terus', 'jual', 'chat', 'gabis', 'balas', 'laporkan', 'polisi', 'mohon']"
Coba lg dulu,coba lg dulu,coba lagi  dulu,"['coba', 'lagi', 'dulu']","['coba', 'dulu']"
3 dlu krna pemula,dlu krna pemula,dulu  karena  pemula,"['dulu', 'karena', 'pemula']","['dulu', 'pemula']"
Mau update gak bisa-bisa.,mau update gak bisa bisa,mau update tidak bisa bisa,"['mau', 'update', 'tidak', 'bisa', 'bisa']","['mau', 'update', 'tidak']"
Meragukan,meragukan,meragukan,['meragukan'],['meragukan']
Notifikasi chat tidak muncul,notifikasi chat tidak muncul,notifikasi chat tidak muncul,"['notifikasi', 'chat', 'tidak', 'muncul']","['notifikasi', 'chat', 'tidak', 'muncul']"
Biar bitang yang berbicara,biar bitang yang berbicara,biar bitang yang berbicara,"['biar', 'bitang', 'yang', 'berbicara']","['biar', 'bitang', 'berbicara']"
tidak ada pembayaran cod dan lebih ribet,tidak ada pembayaran cod dan lebih ribet,tidak ada pembayaran cod dan lebih ribet,"['tidak', 'ada', 'pembayaran', 'cod', 'dan', 'lebih', 'ribet']","['tidak', 'pembayaran', 'cod', 'lebih', 'ribet']"
Sering eror,sering eror,sering eror,"['sering', 'eror']","['sering', 'eror']"
Tiap ngeshare gambarnya burik jelek banget 😤,tiap ngeshare gambarnya burik jelek banget wajah bersungguh sungguh,tiap ngeshare gambarnya burik jelek sekali  wajah bersungguh sungguh,"['tiap', 'ngeshare', 'gambarnya', 'burik', 'jelek', 'sekali', 'wajah', 'bersungguh', 'sungguh']","['tiap', 'ngeshare', 'gambarnya', 'burik', 'jelek', 'sekali', 'wajah', 'bersungguh', 'sungguh']"
Gangguan Mulu... Tolonglah jangan terlalu sering dikit dikit ada gangguan dirumah toped. Payah,gangguan mulu tolonglah jangan terlalu sering dikit dikit ada gangguan dirumah toped payah,gangguan terus  tolonglah jangan terlalu sering sedikit  sedikit  ada gangguan dirumah toped payah,"['gangguan', 'terus', 'tolonglah', 'jangan', 'terlalu', 'sering', 'sedikit', 'sedikit', 'ada', 'gangguan', 'dirumah', 'toped', 'payah']","['gangguan', 'terus', 'tolonglah', 'jangan', 'terlalu', 'sering', 'sedikit', 'sedikit', 'gangguan', 'dirumah', 'toped', 'payah']"
Aman dan terpercaya,aman dan terpercaya,aman dan terpercaya,"['aman', 'dan', 'terpercaya']","['aman', 'terpercaya']"
Gak dikirim😭😭😭,gak dikirim wajah menangis keras wajah menangis keras wajah menangis keras,tidak dikirim wajah menangis keras wajah menangis keras wajah menangis keras,"['tidak', 'dikirim', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras']","['tidak', 'dikirim', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras']"
Ini kenapa keranjang nya cuma bisa ngisi 20 barang doang ya,ini kenapa keranjang nya cuma bisa ngisi barang doang ya,ini kenapa keranjang nya cuma bisa ngisi barang saja  ya,"['ini', 'kenapa', 'keranjang', 'nya', 'cuma', 'bisa', 'ngisi', 'barang', 'saja', 'ya']","['keranjang', 'nya', 'cuma', 'ngisi', 'barang']"
"Saya tidak merasa terintimidasi oleh orang"" diluar sana yg mengatasnamakan penjualan olshop..!?",saya tidak merasa terintimidasi oleh orang diluar sana yg mengatasnamakan penjualan olshop,saya tidak merasa terintimidasi oleh orang diluar sana yang  mengatasnamakan penjualan olshop,"['saya', 'tidak', 'merasa', 'terintimidasi', 'oleh', 'orang', 'diluar', 'sana', 'yang', 'mengatasnamakan', 'penjualan', 'olshop']","['tidak', 'merasa', 'terintimidasi', 'orang', 'diluar', 'sana', 'mengatasnamakan', 'penjualan', 'olshop']"
Gak ada gratisan buat pengguna baru..kalah Sama si orange yg sllu memberikan hadiah gratis bagi pengguna baru,gak ada gratisan buat pengguna baru kalah sama si orange yg sllu memberikan hadiah gratis bagi pengguna baru,tidak ada gratis  buat pengguna baru kalah sama si orange yang  selalu  memberikan hadiah gratis bagi pengguna baru,"['tidak', 'ada', 'gratis', 'buat', 'pengguna', 'baru', 'kalah', 'sama', 'si', 'orange', 'yang', 'selalu', 'memberikan', 'hadiah', 'gratis', 'bagi', 'pengguna', 'baru']","['tidak', 'gratis', 'buat', 'pengguna', 'baru', 'kalah', 'sama', 'si', 'orange', 'selalu', 'memberikan', 'hadiah', 'gratis', 'pengguna', 'baru']"
sangat baik,sangat baik,sangat baik,"['sangat', 'baik']","['sangat', 'baik']"
biasaa,biasaa,biasaa,['biasaa'],['biasaa']
Baik baik aja,baik baik aja,baik baik saja ,"['baik', 'baik', 'saja']","['baik', 'baik']"
"Kenapa sekarang di Tokopedia seru, untuk Diskon diskon minimal belanja nya 150 sih padahal diskonnya kecil. biasanya minimal belanja nya hanya 50. Kalau mau ditambah minimal belanja nya harusnya diskonnya juga ditambah.",kenapa sekarang di tokopedia seru untuk diskon diskon minimal belanja nya sih padahal diskonnya kecil biasanya minimal belanja nya hanya kalau mau ditambah minimal belanja nya harusnya diskonnya juga ditambah,kenapa sekarang di tokopedia seru untuk diskon diskon minimal belanja nya sih padahal diskonnya kecil biasanya minimal belanja nya hanya kalau mau ditambah minimal belanja nya harusnya diskonnya juga ditambah,"['kenapa', 'sekarang', 'di', 'tokopedia', 'seru', 'untuk', 'diskon', 'diskon', 'minimal', 'belanja', 'nya', 'sih', 'padahal', 'diskonnya', 'kecil', 'biasanya', 'minimal', 'belanja', 'nya', 'hanya', 'kalau', 'mau', 'ditambah', 'minimal', 'belanja', 'nya', 'harusnya', 'diskonnya', 'juga', 'ditambah']","['sekarang', 'tokopedia', 'seru', 'diskon', 'diskon', 'minimal', 'belanja', 'nya', 'sih', 'padahal', 'diskonnya', 'kecil', 'biasanya', 'minimal', 'belanja', 'nya', 'kalau', 'mau', 'ditambah', 'minimal', 'belanja', 'nya', 'harusnya', 'diskonnya', 'ditambah']"
Kok erorr gk bisa dipakai apa ada ksalahan y,kok erorr gk bisa dipakai apa ada ksalahan y,kok erorr tidak bisa dipakai apa ada ksalahan y,"['kok', 'erorr', 'tidak', 'bisa', 'dipakai', 'apa', 'ada', 'ksalahan', 'y']","['kok', 'erorr', 'tidak', 'dipakai', 'apa', 'ksalahan', 'y']"
Ok bgt,ok bgt,oke sangat ,"['oke', 'sangat']","['oke', 'sangat']"
banyakin lagi diskonnya. masih kalah murah sm olshop sebelah,banyakin lagi diskonnya masih kalah murah sm olshop sebelah,perbanyak  lagi diskonnya masih kalah murah sama  olshop sebelah,"['perbanyak', 'lagi', 'diskonnya', 'masih', 'kalah', 'murah', 'sama', 'olshop', 'sebelah']","['perbanyak', 'diskonnya', 'kalah', 'murah', 'sama', 'olshop', 'sebelah']"
Good,good,good,['good'],['good']
Cobacoba dulu,cobacoba dulu,cobacoba dulu,"['cobacoba', 'dulu']","['cobacoba', 'dulu']"
Pramuka penegak keadilan dan kebenaran yang di miliki oleh karena itulah saat ini sudah ada di mana mereka tinggal sama sekali,pramuka penegak keadilan dan kebenaran yang di miliki oleh karena itulah saat ini sudah ada di mana mereka tinggal sama sekali,pramuka penegak keadilan dan kebenaran yang di miliki oleh karena itulah saat ini sudah ada di mana mereka tinggal sama sekali,"['pramuka', 'penegak', 'keadilan', 'dan', 'kebenaran', 'yang', 'di', 'miliki', 'oleh', 'karena', 'itulah', 'saat', 'ini', 'sudah', 'ada', 'di', 'mana', 'mereka', 'tinggal', 'sama', 'sekali']","['pramuka', 'penegak', 'keadilan', 'kebenaran', 'miliki', 'mana', 'tinggal', 'sama', 'sekali']"
"Hai kak, kapan ada eram telur poin lg, semangat bgt klo dapet telur poin karna belanjanya bisa kapan pun kan, klo yg voucher diskon dan cashback ada batas waktunya, jujur agak kecewa setelah hilangnya poin di eram telurnya ☹️",hai kak kapan ada eram telur poin lg semangat bgt klo dapet telur poin karna belanjanya bisa kapan pun kan klo yg voucher diskon dan cashback ada batas waktunya jujur agak kecewa setelah hilangnya poin di eram telurnya wajah cemberut,hai kak kapan ada eram telur poin lagi  semangat sangat  kalau dapat  telur poin karena  belanjanya bisa kapan pun kan kalau yang  voucher diskon dan cashback ada batas waktunya jujur agak kecewa setelah hilangnya poin di eram telurnya wajah cemberut,"['hai', 'kak', 'kapan', 'ada', 'eram', 'telur', 'poin', 'lagi', 'semangat', 'sangat', 'kalau', 'dapat', 'telur', 'poin', 'karena', 'belanjanya', 'bisa', 'kapan', 'pun', 'kan', 'kalau', 'yang', 'voucher', 'diskon', 'dan', 'cashback', 'ada', 'batas', 'waktunya', 'jujur', 'agak', 'kecewa', 'setelah', 'hilangnya', 'poin', 'di', 'eram', 'telurnya', 'wajah', 'cemberut']","['hai', 'kak', 'kapan', 'eram', 'telur', 'poin', 'semangat', 'sangat', 'kalau', 'telur', 'poin', 'belanjanya', 'kapan', 'kan', 'kalau', 'voucher', 'diskon', 'cashback', 'batas', 'waktunya', 'jujur', 'kecewa', 'hilangnya', 'poin', 'eram', 'telurnya', 'wajah', 'cemberut']"
estimasi pengiriman yg sangat akurat dan tepat wakuu,estimasi pengiriman yg sangat akurat dan tepat wakuu,estimasi pengiriman yang  sangat akurat dan tepat wakuu,"['estimasi', 'pengiriman', 'yang', 'sangat', 'akurat', 'dan', 'tepat', 'wakuu']","['estimasi', 'pengiriman', 'sangat', 'akurat', 'tepat', 'wakuu']"
memuaskan,memuaskan,memuaskan,['memuaskan'],['memuaskan']
bagus,bagus,bagus,['bagus'],['bagus']
menyenang belanja di tokopedia,menyenang belanja di tokopedia,menyenang belanja di tokopedia,"['menyenang', 'belanja', 'di', 'tokopedia']","['menyenang', 'belanja', 'tokopedia']"
